iter	Passed	Remaining
0	0	86
1	1	77
2	2	69
3	2	63
4	3	61
5	3	59
6	4	58
7	5	57
8	5	57
9	6	56
10	6	55
11	7	54
12	8	54
13	8	53
14	9	52
15	9	52
16	10	51
17	11	51
18	11	50
19	12	49
20	13	49
21	13	48
22	14	47
23	14	47
24	15	46
25	16	46
26	16	45
27	17	44
28	17	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	23	39
38	24	38
39	25	37
40	25	37
41	26	35
42	26	35
43	27	34
44	27	33
45	28	33
46	29	32
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	43	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
